,pair,rate
2024-04-29 17:49:21.153152,BTC/USD,62982.66220338984
2024-04-29 17:55:21.153152,BTC/USD,63031.79898305085
2024-04-29 18:01:21.153152,BTC/USD,63067.94305084746
2024-04-29 18:07:21.153152,BTC/USD,63126.62542372882
2024-04-29 18:13:21.153152,BTC/USD,63124.371499999994
2024-04-29 18:19:21.153152,BTC/USD,63228.87983050847
2024-04-29 18:25:21.153152,BTC/USD,63317.245666666655
2024-04-29 18:31:21.153152,BTC/USD,63444.77916666667
2024-04-29 18:37:21.153152,BTC/USD,63782.27910714286
2024-04-29 18:43:21.153152,BTC/USD,63765.41464285714
2024-04-29 18:49:21.153152,BTC/USD,63784.498947368425
2024-04-29 18:55:21.153152,BTC/USD,63790.419642857145
2024-04-29 19:01:21.153152,BTC/USD,63866.37910714286
2024-04-29 19:07:21.153152,BTC/USD,63973.66821428571
2024-04-29 19:13:21.153152,BTC/USD,64078.49833333334
2024-04-29 19:19:21.153152,BTC/USD,64004.969818181824
2024-04-29 19:25:21.153152,BTC/USD,64047.15722222222
2024-04-29 19:31:21.153152,BTC/USD,63982.67072727272
2024-04-29 19:37:21.153152,BTC/USD,64007.90399999999
2024-04-29 19:43:21.153152,BTC/USD,63935.62303571428
2024-04-29 19:49:21.153152,BTC/USD,63878.611071428575
2024-04-29 19:55:21.153152,BTC/USD,63819.29796296296
2024-04-29 20:01:21.153152,BTC/USD,63829.41375
2024-04-29 20:07:21.153152,BTC/USD,63770.11392857142
2024-04-29 20:13:21.153152,BTC/USD,63729.777368421055
2024-04-29 20:19:21.153152,BTC/USD,63728.637090909084
2024-04-29 20:25:21.153152,BTC/USD,63843.981224489806
2024-04-29 20:31:21.153152,BTC/USD,63957.45851851852
2024-04-29 20:37:21.153152,BTC/USD,63966.30528301887
2024-04-29 20:43:21.153152,BTC/USD,64056.14773584907
2024-04-29 20:49:21.153152,BTC/USD,64275.53785714286
2024-04-29 20:55:21.153152,BTC/USD,64507.89777777778
2024-04-29 21:01:21.153152,BTC/USD,64575.8346
2024-04-29 21:07:21.153152,BTC/USD,64473.9838
2024-04-29 21:13:21.153152,BTC/USD,64406.918125000004
2024-04-29 21:19:21.153152,BTC/USD,64334.83733333333
2024-04-29 21:25:21.153152,BTC/USD,64332.299268292685
2024-04-29 21:31:21.153152,BTC/USD,64235.000238095236
2024-04-29 21:37:21.153152,BTC/USD,64092.26311111111
2024-04-29 21:43:21.153152,BTC/USD,64095.75600000001
2024-04-29 21:49:21.153152,BTC/USD,64089.1328888889
2024-04-29 21:55:21.153152,BTC/USD,64047.12863636364
2024-04-29 22:01:21.153152,BTC/USD,63790.493255813955
2024-04-29 22:07:21.153152,BTC/USD,63281.33069767442
2024-04-29 22:13:21.153152,BTC/USD,63438.4509090909
2024-04-29 22:19:21.153152,BTC/USD,63497.605348837205
2024-04-29 22:25:21.153152,BTC/USD,63624.71279069766
2024-04-29 22:31:21.153152,BTC/USD,63611.40953488373
2024-04-29 22:37:21.153152,BTC/USD,63729.82931818182
2024-04-29 22:43:21.153152,BTC/USD,63776.77465116279
2024-04-29 22:49:21.153152,BTC/USD,63808.42162790697
2024-04-29 22:55:21.153152,BTC/USD,63795.90976190476
