,pair,rate
2024-04-29 17:49:21.153152,EUR/USD,1.0721854661016952
2024-04-29 17:55:21.153152,EUR/USD,1.0722228571428571
2024-04-29 18:01:21.153152,EUR/USD,1.0722088559322034
2024-04-29 18:07:21.153152,EUR/USD,1.072182966101695
2024-04-29 18:13:21.153152,EUR/USD,1.072198613445378
2024-04-29 18:19:21.153152,EUR/USD,1.072083823529412
2024-04-29 18:25:21.153152,EUR/USD,1.071947166666667
2024-04-29 18:31:21.153152,EUR/USD,1.0719035
2024-04-29 18:37:21.153152,EUR/USD,1.0719016964285715
2024-04-29 18:43:21.153152,EUR/USD,1.0718627678571429
2024-04-29 18:49:21.153152,EUR/USD,1.0718943859649122
2024-04-29 18:55:21.153152,EUR/USD,1.0717987499999997
2024-04-29 19:01:21.153152,EUR/USD,1.0717666964285715
2024-04-29 19:07:21.153152,EUR/USD,1.0717463839285715
2024-04-29 19:13:21.153152,EUR/USD,1.0716962385321103
2024-04-29 19:19:21.153152,EUR/USD,1.0717104587155961
2024-04-29 19:25:21.153152,EUR/USD,1.0717305092592593
2024-04-29 19:31:21.153152,EUR/USD,1.0718154545454543
2024-04-29 19:37:21.153152,EUR/USD,1.071859227272727
2024-04-29 19:43:21.153152,EUR/USD,1.0717637387387386
2024-04-29 19:49:21.153152,EUR/USD,1.0717055309734513
2024-04-29 19:55:21.153152,EUR/USD,1.0717045327102803
2024-04-29 20:01:21.153152,EUR/USD,1.0715291592920355
2024-04-29 20:07:21.153152,EUR/USD,1.0711976785714286
2024-04-29 20:13:21.153152,EUR/USD,1.0712063157894733
2024-04-29 20:19:21.153152,EUR/USD,1.0712823636363635
2024-04-29 20:25:21.153152,EUR/USD,1.0713368877551022
2024-04-29 20:31:21.153152,EUR/USD,1.07159
2024-04-29 20:37:21.153152,EUR/USD,1.0716604245283021
2024-04-29 20:43:21.153152,EUR/USD,1.0716092990654205
2024-04-29 20:49:21.153152,EUR/USD,1.071535681818182
2024-04-29 20:55:21.153152,EUR/USD,1.0715272222222223
2024-04-29 21:01:21.153152,EUR/USD,1.0715362871287128
2024-04-29 21:07:21.153152,EUR/USD,1.071635
2024-04-29 21:13:21.153152,EUR/USD,1.0715124479166667
2024-04-29 21:19:21.153152,EUR/USD,1.0715550555555557
2024-04-29 21:25:21.153152,EUR/USD,1.0716180487804883
2024-04-29 21:31:21.153152,EUR/USD,1.0716355294117643
2024-04-29 21:37:21.153152,EUR/USD,1.0713482954545455
2024-04-29 21:43:21.153152,EUR/USD,1.0712306043956044
2024-04-29 21:49:21.153152,EUR/USD,1.0711448888888888
2024-04-29 21:55:21.153152,EUR/USD,1.071026875
2024-04-29 22:01:21.153152,EUR/USD,1.070773023255814
2024-04-29 22:07:21.153152,EUR/USD,1.07064238372093
2024-04-29 22:13:21.153152,EUR/USD,1.0705764772727273
2024-04-29 22:19:21.153152,EUR/USD,1.0704767816091958
2024-04-29 22:25:21.153152,EUR/USD,1.070579294117647
2024-04-29 22:31:21.153152,EUR/USD,1.0703856395348836
2024-04-29 22:37:21.153152,EUR/USD,1.070482215909091
2024-04-29 22:43:21.153152,EUR/USD,1.070498953488372
2024-04-29 22:49:21.153152,EUR/USD,1.0704222674418604
2024-04-29 22:55:21.153152,EUR/USD,1.0705658928571429
